Date,Price,Open,High,Low,Vol.,Change %
21-Aug-23,66.98,65.25,67.09,64.8,795.51K,2.65%
20-Aug-23,65.25,64.17,65.84,63.98,328.36K,1.71%
19-Aug-23,64.15,63.97,64.93,63.57,511.25K,0.28%
18-Aug-23,63.97,64.81,65.88,63.43,1.28M,-1.49%
17-Aug-23,64.94,74.6,75.82,57.2,1.71M,-12.95%
16-Aug-23,74.6,79.32,79.6,73.31,1.05M,-5.95%
15-Aug-23,79.32,82.11,82.24,77.96,600.00K,-3.40%
14-Aug-23,82.11,81.98,83.1,81.53,330.92K,0.16%
13-Aug-23,81.98,83.48,83.76,81.32,331.07K,-1.80%
12-Aug-23,83.48,83.58,84,83.27,178.59K,-0.12%
11-Aug-23,83.58,83.14,83.65,82.78,186.71K,0.53%
10-Aug-23,83.14,84.08,84.38,82.68,337.54K,-1.09%
9-Aug-23,84.06,83.88,84.53,83.19,380.98K,0.21%
8-Aug-23,83.88,82.48,85.35,81.79,735.79K,1.70%
7-Aug-23,82.48,82.57,83.43,80.16,531.61K,-0.12%
6-Aug-23,82.58,83.11,83.49,81.95,376.30K,-0.65%
5-Aug-23,83.12,82.2,83.42,81.47,353.83K,1.12%
4-Aug-23,82.2,82.65,83.87,81.15,959.86K,-0.54%
3-Aug-23,82.65,87.55,88.38,81.69,1.13M,-5.58%
2-Aug-23,87.53,93.97,94.5,86.16,1.52M,-6.85%
1-Aug-23,93.97,92.22,93.97,89.36,1.19M,1.90%
31-Jul-23,92.22,94.03,95.02,91.18,751.01K,-1.92%
30-Jul-23,94.03,94.37,95.96,91.22,1.12M,-0.36%
29-Jul-23,94.37,91.45,94.87,90.87,482.21K,3.19%
28-Jul-23,91.45,90.59,91.98,90.55,400.63K,0.95%
27-Jul-23,90.59,90.66,91.91,89.7,493.18K,-0.08%
26-Jul-23,90.66,89.45,91.11,88.62,523.69K,1.35%
25-Jul-23,89.45,89.14,90.09,88.6,437.94K,0.35%
24-Jul-23,89.14,93.15,93.35,87.75,744.27K,-4.30%
23-Jul-23,93.15,92.09,93.54,91.58,459.36K,1.15%
22-Jul-23,92.09,94.1,96.29,91.41,523.23K,-2.14%
21-Jul-23,94.1,92.37,94.74,91.79,562.39K,1.92%
20-Jul-23,92.33,91.99,94.94,91.55,761.66K,0.37%
19-Jul-23,91.99,91.58,94.17,91.45,610.56K,0.45%
18-Jul-23,91.58,92.18,92.93,89.51,547.01K,-0.65%
17-Jul-23,92.18,92.87,93.56,89.65,825.01K,-0.74%
16-Jul-23,92.87,94.78,95.33,91.94,493.20K,-2.02%
15-Jul-23,94.78,95.14,95.76,93.92,474.35K,-0.38%
14-Jul-23,95.14,101.84,103.44,92.35,1.47M,-6.58%
13-Jul-23,101.84,96.21,104.17,95.64,1.78M,5.85%
12-Jul-23,96.21,96.77,97.82,94.29,681.20K,-0.58%
11-Jul-23,96.77,96.76,98.2,95.6,775.78K,0.01%
10-Jul-23,96.76,95.12,97.79,92.46,1.11M,1.72%
9-Jul-23,95.12,97.79,98.37,94.79,468.57K,-2.77%
8-Jul-23,97.83,98.23,98.47,96.63,431.21K,-0.41%
7-Jul-23,98.23,95.32,98.58,94.66,866.88K,3.05%
6-Jul-23,95.32,102.54,105.93,95.18,1.70M,-7.04%
5-Jul-23,102.54,104.26,106.59,98.78,1.41M,-1.57%
4-Jul-23,104.18,107.28,109.42,104.18,934.81K,-2.89%
3-Jul-23,107.28,113.35,114.76,105.62,1.44M,-5.36%
2-Jul-23,113.35,107.12,113.84,105.1,2.30M,5.60%
1-Jul-23,107.34,108.66,112.63,104.29,2.62M,-1.21%
30-Jun-23,108.66,84.71,111.26,84.3,5.47M,28.27%
29-Jun-23,84.71,82.98,85.73,82.98,484.84K,2.08%
