date,close,open,high,low,Volume ETH,Change%
2/6/2024 18:00,2363.18,2352.16,2363.79,2348.26,236.13030899999995,0.48046669
2/6/2024 17:00,2351.88,2345.49,2363.32,2343.52,239.935187,0.272437742
2/6/2024 16:00,2345.49,2341.24,2360,2339.12,394.039472,0.203783451
2/6/2024 15:00,2340.72,2334.77,2343.65,2329.95,92.207365,0.235523848
2/6/2024 14:00,2335.22,2339.99,2344.56,2330,158.472221,0.005995512
2/6/2024 13:00,2335.08,2320.93,2345.2,2318.2,185.044566,0.575868649
2/6/2024 12:00,2321.71,2326.54,2329.17,2308.61,82.453578,-0.049077642
2/6/2024 11:00,2322.85,2323.15,2325.05,2316.64,19.426132,0.006458001
2/6/2024 10:00,2322.7,2332.31,2340,2314.78,105.333191,-0.353505453
2/6/2024 9:00,2330.94,2333.78,2333.78,2327.77,28.580575,-0.014155375
2/6/2024 8:00,2331.27,2324.17,2333.88,2321.15,348.160445,0.307643323
2/6/2024 7:00,2324.12,2313.04,2324.56,2308.52,57.962615,0.568589949
2/6/2024 6:00,2310.98,2310.16,2312.2,2305.75,143.444217,-0.006490332
2/6/2024 5:00,2311.13,2311.07,2311.69,2305.2,31.318204,-0.025954588
2/6/2024 4:00,2311.73,2314.5,2316.23,2311.01,18.357436,-0.116227824
2/6/2024 3:00,2314.42,2322.42,2325.55,2312.24,154.964998,-0.290801622
2/6/2024 2:00,2321.17,2303.68,2326.7,2303.09,87.541266,0.724678559
2/6/2024 1:00,2304.47,2299.81,2307.98,2298.32,63.296727,0.187813838
2/6/2024 0:00,2300.15,2297.37,2300.15,2296.55,183.802695,0.03740285
2/5/2024 23:00,2299.29,2292.2,2299.45,2289.21,104.304249,0.309309833
2/5/2024 22:00,2292.2,2286.73,2293.39,2284.56,67.24515,0.239206203
2/5/2024 21:00,2286.73,2290.06,2291.77,2283.53,294.789026,-0.145411037
2/5/2024 20:00,2290.06,2300.29,2302.55,2282.14,386.465081,-0.444726534
2/5/2024 19:00,2300.29,2297.26,2309.29,2297.26,111.862783,0.131896259
2/5/2024 18:00,2297.26,2299.39,2299.97,2292.57,77.17922,-0.092633264
2/5/2024 17:00,2299.39,2298.58,2303.74,2294.42,95.7849,0.035239148
2/5/2024 16:00,2298.58,2293.81,2299.16,2288,187.179848,0.207950964
2/5/2024 15:00,2293.81,2315.07,2315.07,2292.04,301.922607,-0.918330763
2/5/2024 14:00,2315.07,2326.85,2331.77,2315.07,107.04045,-0.506263833
2/5/2024 13:00,2326.85,2323.34,2335.43,2321.51,15.509465,0.151075607
2/5/2024 12:00,2323.34,2326.41,2329.41,2320.77,280.48952,-0.131962982
2/5/2024 11:00,2326.41,2320.57,2327.85,2320.57,25.514032,0.251662307
2/5/2024 10:00,2320.57,2318.02,2329.22,2318.02,76.356795,0.110007679
2/5/2024 9:00,2318.02,2321.33,2323.35,2313.34,9.054105,-0.14259067
2/5/2024 8:00,2321.33,2309.41,2321.48,2309.41,48.174666,0.516149146
2/5/2024 7:00,2309.41,2297.77,2309.5,2296.96,14.403973,0.506578117
2/5/2024 6:00,2297.77,2292.47,2297.77,2292.1,124.74392,0.231191684
2/5/2024 5:00,2292.47,2292.77,2292.82,2288.14,54.872712,-0.013084609
2/5/2024 4:00,2292.77,2294.11,2297.4,2290.31,27.916469,-0.058410451
2/5/2024 3:00,2294.11,2279.92,2295.15,2279.76,17.590831,0.622390259
2/5/2024 2:00,2279.92,2280.3,2281.27,2275.92,25.596972,-0.016664474
2/5/2024 1:00,2280.3,2280.23,2281.19,2268.39,100.271174,0.003069866
2/5/2024 0:00,2280.23,2288.36,2292.57,2278.66,49.757808,-0.355276268
2/4/2024 23:00,2288.36,2285.99,2290.56,2282.79,107.919545,0.103674994
2/4/2024 22:00,2285.99,2299.11,2300.9,2277.58,16.62306,-0.570655602
2/4/2024 21:00,2299.11,2302.49,2307.78,2299.11,34.845776,-0.146797597
2/4/2024 20:00,2302.49,2279.39,2307.02,2273.74,87.132834,1.013429031
2/4/2024 19:00,2279.39,2293.57,2293.9,2269,59.524436,-0.618250152
2/4/2024 18:00,2293.57,2305.79,2307.12,2293.41,8.112021,-0.529970205
2/4/2024 17:00,2305.79,2302.4,2307.17,2298.52,4.361015,0.147237665
2/4/2024 16:00,2302.4,2301.52,2302.4,2297.94,125.025045,0.038235601
2/4/2024 15:00,2301.52,2297.41,2303.98,2297.05,36.033563,0.178897106
2/4/2024 14:00,2297.41,2302.76,2306.67,2296.89,21.076626,-0.2323299
2/4/2024 13:00,2302.76,2304.76,2304.76,2301.49,7.820178,-0.086776931
2/4/2024 12:00,2304.76,2303.09,2309.08,2303.09,17.90446,0.072511278
2/4/2024 11:00,2303.09,2299.14,2306.1,2298.4,13.233893,0.17180337
2/4/2024 10:00,2299.14,2302,2303.15,2297.92,6.155808,-0.124239791
2/4/2024 9:00,2302,2289.48,2302,2286,10.155513,0.546849066
2/4/2024 8:00,2289.48,2290.63,2290.63,2288.34,22.214799,-0.050204529
2/4/2024 7:00,2290.63,2287.65,2291.74,2287.14,33.90042,0.130264682
2/4/2024 6:00,2287.65,2298.93,2301.41,2287.65,36.935258,-0.490663048
2/4/2024 5:00,2298.93,2297.01,2302,2297.01,4.865253,0.083586924
2/4/2024 4:00,2297.01,2302.22,2302.22,2294.62,4.603261,-0.226303307
2/4/2024 3:00,2302.22,2302.37,2304.28,2301.15,44.174371,-0.006515026
2/4/2024 2:00,2302.37,2304.5,2305.81,2301.97,31.184573,-0.092427859
2/4/2024 1:00,2304.5,2298.1,2305.54,2295.83,33.251069,0.278490927
2/4/2024 0:00,2298.1,2295.82,2298.1,2291.1,135.444567,0.099310922
2/3/2024 23:00,2295.82,2297.04,2300.15,2293.49,8.052302,-0.053111831
2/3/2024 22:00,2297.04,2299.76,2300.51,2296.89,22.451807,-0.118273211
2/3/2024 21:00,2299.76,2302.27,2303.79,2297.27,10.816272,-0.109022834
2/3/2024 20:00,2302.27,2302.06,2303.52,2299.68,20.086044,0.009122264
2/3/2024 19:00,2302.06,2297.42,2302.06,2297.18,30.836591,0.201965683
2/3/2024 18:00,2297.42,2309.21,2309.21,2296.92,14.135874,-0.510564219
2/3/2024 17:00,2309.21,2305.53,2310.65,2303.85,26.516249,0.159616227
2/3/2024 16:00,2305.53,2302.9,2312.18,2302.79,53.365093,0.11420383
2/3/2024 15:00,2302.9,2301.41,2307.98,2293,23.135507,0.064742918
2/3/2024 14:00,2301.41,2306.14,2306.14,2300.58,14.613077,-0.205104634
2/3/2024 13:00,2306.14,2304.61,2306.71,2302.68,4.190996,0.066388673
2/3/2024 12:00,2304.61,2301.52,2305.52,2301.52,1.688727,0.134259098
2/3/2024 11:00,2301.52,2312.26,2312.26,2299.99,18.268741,-0.464480638
2/3/2024 10:00,2312.26,2314.71,2314.71,2311.26,1.267043,-0.105844793
2/3/2024 9:00,2314.71,2307.08,2314.71,2307.08,2.084748,0.330721085
2/3/2024 8:00,2307.08,2313.63,2314.72,2307.02,16.590526,-0.283104904
2/3/2024 7:00,2313.63,2320.05,2320.28,2313.04,19.615518,-0.276718174
2/3/2024 6:00,2320.05,2322.08,2323.31,2316.74,80.172004,-0.087421622
2/3/2024 5:00,2322.08,2320.33,2323.21,2320,8.533079,0.075420307
2/3/2024 4:00,2320.33,2321.45,2323.57,2319.81,19.666305,-0.048245709
2/3/2024 3:00,2321.45,2320.22,2325.01,2319.69,15.994256,0.053012214
2/3/2024 2:00,2320.22,2324.28,2324.86,2318.91,8.894042,-0.17467775
